Conviction_Points,Geo_Risk,Years_of_Experience,Vehicle_Type,Vehicle_Age,Driver_Age,License_Type,Gender,Normalized_Risk_Score
0,3,19,Motorcycle,2,67,Motorcycle,Male,0.2963917526
14,5,23,Car,8,26,Commercial,Female,0.6262886598
3,8,20,Car,4,38,Commercial,Female,0.1726804124
12,9,1,Car,12,19,Motorcycle,Female,0.4587628866
10,5,9,Motorcycle,12,55,Commercial,Female,0.6572164948
20,0,42,Motorcycle,13,45,Motorcycle,Female,0.5953608247
11,10,41,Car,18,61,Commercial,Male,0.4742268041
4,6,15,Car,15,33,Commercial,Male,0.2422680412
6,9,39,Motorcycle,8,70,Motorcycle,Male,0.3737113402
4,1,26,Motorcycle,12,27,Commercial,Male,0.3195876289
15,4,42,Motorcycle,7,42,Motorcycle,Male,0.5180412371
20,10,11,Motorcycle,3,26,Commercial,Female,0.9639175258
3,7,7,Motorcycle,2,62,Commercial,Female,0.5180412371
12,5,27,Motorcycle,8,43,Motorcycle,Male,0.5695876289
4,2,32,Car,4,68,Commercial,Male,0.2603092784
20,10,30,Car,12,53,Motorcycle,Male,0.7912371134
8,6,22,Motorcycle,12,64,Commercial,Male,0.5180412371
14,4,29,Car,13,45,Commercial,Male,0.5670103093
15,7,32,Motorcycle,18,52,Motorcycle,Female,0.6340206186
20,3,2,Car,15,63,Commercial,Female,0.9175257732
3,6,1,Car,8,19,Motorcycle,Female,0.3891752577
15,7,8,Motorcycle,12,26,Commercial,Female,0.5180412371
13,0,15,Motorcycle,7,33,Commercial,Female,0.4304123711
16,6,24,Motorcycle,3,42,Motorcycle,Male,0.5309278351
17,4,24,Motorcycle,2,26,Commercial,Male,0.7087628866
5,2,14,Motorcycle,8,35,Motorcycle,Male,0.4510309278
9,3,2,Motorcycle,4,57,Commercial,Male,0.6597938144
3,2,3,Motorcycle,12,38,Commercial,Male,0.4845360825
0,10,6,Motorcycle,12,24,Motorcycle,Female,0.3041237113
5,0,42,Car,13,54,Commercial,Female,0.1829896907
0,9,36,Car,18,64,Motorcycle,Female,0.2164948454
17,5,0,Motorcycle,15,36,Commercial,Female,0.9072164948
18,8,24,Motorcycle,8,44,Commercial,Female,0.7860824742
4,1,50,Car,12,66,Motorcycle,Male,0.1082474227
2,0,15,Car,7,33,Commercial,Male,0.1365979381
16,9,12,Motorcycle,3,25,Motorcycle,Male,0.8402061856
3,5,15,Car,2,19,Commercial,Male,0.4304123711
2,9,26,Motorcycle,8,46,Commercial,Male,0.3711340206
10,10,23,Motorcycle,4,34,Motorcycle,Female,0.6134020619
13,2,29,Motorcycle,12,47,Commercial,Female,0.5412371134
16,1,16,Motorcycle,12,30,Motorcycle,Male,0.706185567
7,10,18,Car,13,51,Commercial,Male,0.5489690722
9,3,1,Motorcycle,18,19,Commercial,Male,0.3530927835
0,0,33,Motorcycle,15,68,Motorcycle,Male,0.1494845361
10,6,3,Car,8,47,Commercial,Male,0.6907216495
18,0,38,Motorcycle,12,64,Motorcycle,Female,0.574742268
11,7,7,Car,7,48,Commercial,Female,0.6984536082
2,9,20,Motorcycle,3,35,Commercial,Female,0.4175257732
2,3,48,Motorcycle,2,67,Motorcycle,Female,0.1237113402
3,8,5,Car,8,23,Commercial,Female,0.3994845361
3,4,2,Car,4,39,Motorcycle,Male,0.4922680412
18,4,10,Motorcycle,12,23,Commercial,Male,0.868556701
14,5,34,Car,12,42,Commercial,Male,0.5412371134
3,1,24,Motorcycle,13,59,Motorcycle,Male,0.3092783505
20,6,0,Car,18,33,Commercial,Male,0.9716494845
17,8,6,Motorcycle,15,57,Motorcycle,Female,0.8994845361
18,6,13,Motorcycle,8,61,Commercial,Female,0.8453608247
14,10,38,Motorcycle,12,58,Commercial,Female,0.6005154639
9,1,25,Car,7,63,Motorcycle,Female,0.4304123711
1,4,27,Car,3,41,Commercial,Female,0.2474226804
4,4,47,Motorcycle,2,65,Motorcycle,Male,0.1958762887
10,9,5,Motorcycle,8,39,Commercial,Male,0.7396907216
11,8,45,Motorcycle,4,60,Commercial,Male,0.4432989691
8,6,22,Motorcycle,12,40,Motorcycle,Male,0.3711340206
11,2,23,Car,12,58,Commercial,Male,0.5103092784
2,3,24,Motorcycle,13,50,Motorcycle,Female,0.3092783505
19,8,13,Motorcycle,18,27,Commercial,Female,0.8969072165
16,0,21,Motorcycle,15,58,Commercial,Male,0.6546391753
0,5,13,Motorcycle,8,46,Motorcycle,Male,0.368556701
0,8,2,Car,12,65,Commercial,Male,0.4664948454
6,7,41,Motorcycle,7,63,Motorcycle,Male,0.3324742268
19,5,1,Motorcycle,3,46,Commercial,Male,0.9510309278
14,6,10,Motorcycle,2,28,Commercial,Female,0.4948453608
10,5,0,Motorcycle,8,39,Motorcycle,Female,0.7268041237
19,7,14,Motorcycle,4,29,Commercial,Female,0.8762886598
8,10,36,Motorcycle,12,37,Motorcycle,Female,0.4613402062
13,4,7,Car,12,33,Commercial,Female,0.7113402062
2,2,9,Car,13,27,Commercial,Male,0.08505154639
3,6,9,Car,18,42,Motorcycle,Male,0.4639175258
2,6,44,Motorcycle,15,67,Commercial,Male,0.1932989691
11,8,49,Car,8,68,Motorcycle,Male,0.3865979381
13,1,4,Motorcycle,12,70,Commercial,Male,0.7216494845
16,0,16,Motorcycle,7,37,Commercial,Female,0.6932989691
8,5,16,Car,3,32,Motorcycle,Female,0.5257731959
8,0,16,Car,2,54,Commercial,Female,0.4613402062
19,10,3,Motorcycle,8,49,Motorcycle,Female,1
8,1,6,Car,4,24,Commercial,Female,0.3144329897
2,4,2,Car,12,55,Commercial,Male,0.4664948454
20,10,32,Motorcycle,12,47,Motorcycle,Male,0.8015463918
3,1,6,Motorcycle,13,54,Commercial,Male,0.4484536082
12,9,21,Motorcycle,18,55,Motorcycle,Male,0.6675257732
14,0,28,Car,15,63,Commercial,Male,0.5231958763
0,3,22,Car,8,46,Commercial,Female,0.2474226804
4,9,27,Car,12,34,Motorcycle,Female,0.3891752577
3,3,5,Motorcycle,7,23,Commercial,Male,0.1675257732
13,0,4,Motorcycle,3,36,Motorcycle,Male,0.7087628866
11,8,4,Car,2,67,Commercial,Male,0.7345360825
13,2,31,Car,8,35,Commercial,Male,0.5
13,5,2,Car,4,51,Motorcycle,Male,0.7628865979
11,4,25,Car,12,44,Commercial,Female,0.5206185567
16,2,30,Motorcycle,12,41,Motorcycle,Female,0.6108247423
14,4,11,Car,13,60,Commercial,Female,0.706185567
16,2,10,Car,18,68,Commercial,Female,0.7396907216
19,0,2,Motorcycle,15,34,Motorcycle,Female,0.8788659794
1,1,11,Motorcycle,8,39,Commercial,Male,0.3582474227
8,5,12,Car,12,63,Motorcycle,Male,0.5567010309
0,5,20,Car,7,62,Commercial,Male,0.2886597938
4,8,9,Motorcycle,3,39,Commercial,Male,0.5412371134
6,0,35,Car,2,65,Motorcycle,Male,0.2628865979
13,0,6,Car,8,44,Commercial,Female,0.6675257732
7,10,31,Motorcycle,4,64,Motorcycle,Female,0.4742268041
15,5,27,Motorcycle,12,68,Commercial,Female,0.6469072165
9,7,10,Car,12,61,Commercial,Female,0.6237113402
18,3,26,Car,13,44,Motorcycle,Female,0.5103092784
8,6,8,Motorcycle,18,22,Commercial,Male,0.6520618557
15,0,25,Car,15,56,Motorcycle,Male,0.5721649485
11,2,13,Motorcycle,8,31,Commercial,Male,0.4278350515
6,0,15,Motorcycle,12,27,Commercial,Male,0.4432989691
15,10,6,Car,7,24,Motorcycle,Male,0.7190721649
1,5,5,Motorcycle,3,53,Commercial,Female,0.456185567
12,1,18,Car,2,30,Motorcycle,Female,0.5618556701
3,7,0,Car,8,23,Commercial,Male,0.5721649485
18,10,36,Motorcycle,4,49,Commercial,Male,0.7190721649
15,3,32,Car,12,46,Motorcycle,Male,0.5567010309
3,2,18,Car,12,36,Commercial,Male,0.1958762887
10,3,18,Motorcycle,13,43,Motorcycle,Male,0.5618556701
12,2,13,Car,18,46,Commercial,Female,0.6134020619
6,3,19,Motorcycle,15,53,Commercial,Female,0.4510309278
3,7,2,Motorcycle,8,62,Motorcycle,Female,0.5567010309
5,7,15,Car,12,33,Commercial,Female,0.2345360825
11,1,40,Motorcycle,7,49,Motorcycle,Female,0.3917525773
0,4,41,Car,3,65,Commercial,Male,0.1134020619
11,6,0,Motorcycle,2,53,Commercial,Male,0.7654639175
8,10,38,Motorcycle,8,46,Motorcycle,Male,0.4458762887
20,7,0,Car,4,49,Commercial,Male,0.9845360825
10,0,9,Car,12,29,Motorcycle,Male,0.5670103093
11,0,25,Motorcycle,12,43,Commercial,Female,0.3092783505
5,6,3,Car,13,36,Commercial,Female,0.5618556701
15,4,5,Car,18,50,Motorcycle,Female,0.7783505155
8,4,17,Car,15,53,Commercial,Female,0.5051546392
2,10,18,Motorcycle,8,44,Motorcycle,Female,0.4458762887
19,5,45,Motorcycle,12,69,Commercial,Male,0.6108247423
19,1,11,Motorcycle,7,48,Commercial,Male,0.8221649485
14,10,0,Car,3,22,Motorcycle,Male,0.8943298969
20,2,38,Motorcycle,2,61,Commercial,Male,0.6520618557
3,6,14,Motorcycle,8,32,Motorcycle,Male,0.2190721649
3,8,5,Motorcycle,4,23,Commercial,Female,0.293814433
7,2,17,Car,12,50,Commercial,Female,0.4536082474
9,10,0,Car,12,18,Motorcycle,Male,0.425257732
9,9,18,Car,13,64,Commercial,Male,0.587628866
9,9,6,Car,18,22,Motorcycle,Male,0.706185567
3,5,15,Motorcycle,15,39,Commercial,Male,0.4304123711
14,5,20,Motorcycle,8,38,Commercial,Male,0.5283505155
18,8,0,Car,12,68,Motorcycle,Female,0.9458762887
12,5,37,Motorcycle,7,65,Commercial,Female,0.4922680412
3,9,36,Motorcycle,3,57,Motorcycle,Female,0.3195876289
9,1,7,Car,2,32,Commercial,Female,0.5695876289
10,9,5,Motorcycle,8,23,Commercial,Female,0.456185567
13,4,11,Motorcycle,4,30,Motorcycle,Male,0.706185567
7,6,4,Car,12,66,Commercial,Male,0.6056701031
7,9,6,Motorcycle,12,21,Motorcycle,Male,0.6804123711
1,10,38,Motorcycle,13,47,Commercial,Male,0.2654639175
12,8,40,Motorcycle,18,51,Commercial,Male,0.5077319588
2,10,6,Car,15,66,Motorcycle,Female,0.5128865979
2,0,16,Motorcycle,8,55,Commercial,Female,0.3324742268
1,5,34,Car,12,36,Motorcycle,Female,0.206185567
5,6,16,Motorcycle,7,27,Commercial,Female,0.4871134021
8,0,32,Car,3,54,Commercial,Female,0.337628866
4,6,28,Motorcycle,2,66,Motorcycle,Male,0.368556701
0,0,3,Car,8,21,Commercial,Male,0.1262886598
11,6,32,Motorcycle,4,66,Motorcycle,Male,0.5180412371
2,7,5,Car,12,23,Commercial,Male,0.1675257732
5,1,8,Motorcycle,12,26,Commercial,Male,0.175257732
16,1,8,Motorcycle,13,27,Motorcycle,Female,0.7680412371
8,5,21,Car,18,35,Commercial,Female,0.4871134021
1,0,50,Car,15,60,Motorcycle,Male,0.01804123711
17,6,24,Car,8,56,Commercial,Male,0.7087628866
16,4,16,Motorcycle,12,65,Commercial,Male,0.7448453608
3,10,21,Car,7,41,Motorcycle,Male,0.4226804124
8,4,10,Motorcycle,3,62,Commercial,Male,0.5850515464
20,4,32,Motorcycle,2,70,Motorcycle,Female,0.7242268041
4,7,8,Motorcycle,8,21,Commercial,Female,0.5618556701
16,2,37,Car,4,57,Commercial,Female,0.5309278351
3,1,6,Motorcycle,12,21,Motorcycle,Female,0.4742268041
7,4,26,Motorcycle,12,61,Commercial,Female,0.4355670103
3,9,5,Motorcycle,13,23,Motorcycle,Male,0.2989690722
18,8,27,Car,18,62,Commercial,Male,0.7371134021
17,4,11,Motorcycle,15,29,Commercial,Male,0.5463917526
1,4,25,Car,8,59,Motorcycle,Male,0.2628865979
18,7,20,Car,12,61,Commercial,Male,0.7783505155
17,0,20,Motorcycle,7,54,Motorcycle,Female,0.6881443299
20,7,13,Car,3,33,Commercial,Female,0.8840206186
2,10,34,Car,2,48,Commercial,Female,0.2963917526
5,8,4,Motorcycle,8,18,Motorcycle,Female,0.631443299
5,9,16,Car,4,34,Commercial,Female,0.2525773196
12,9,14,Car,12,51,Motorcycle,Male,0.6958762887
12,10,24,Motorcycle,12,63,Commercial,Male,0.6572164948
2,5,1,Motorcycle,13,61,Commercial,Male,0.5128865979
15,2,7,Car,18,25,Motorcycle,Male,0.4896907216
7,6,17,Car,15,35,Commercial,Male,0.3041237113
7,9,13,Motorcycle,8,55,Motorcycle,Female,0.6005154639
11,5,36,Motorcycle,12,59,Commercial,Female,0.4742268041
17,6,33,Motorcycle,7,56,Commercial,Male,0.6649484536
6,10,12,Motorcycle,3,53,Motorcycle,Male,0.5953608247
7,5,16,Car,2,67,Commercial,Male,0.5
18,3,5,Motorcycle,8,35,Motorcycle,Male,0.868556701
11,10,33,Car,4,33,Commercial,Male,0.5360824742
19,3,31,Car,12,60,Commercial,Female,0.6675257732
17,10,8,Car,12,43,Motorcycle,Female,0.8840206186
9,0,8,Car,13,26,Commercial,Female,0.3556701031
14,3,0,Motorcycle,18,63,Motorcycle,Female,0.8041237113
9,4,32,Car,15,63,Commercial,Female,0.4149484536
18,1,31,Car,8,33,Commercial,Male,0.6159793814
0,0,2,Car,12,65,Motorcycle,Male,0.3634020619
9,10,42,Car,7,70,Commercial,Male,0.4149484536
11,9,27,Motorcycle,3,61,Motorcycle,Male,0.5953608247
17,9,16,Car,2,54,Commercial,Male,0.8092783505
9,3,23,Car,8,53,Commercial,Female,0.4716494845
0,9,2,Car,4,52,Motorcycle,Female,0.4793814433
16,10,7,Car,12,62,Commercial,Female,0.8659793814
10,3,1,Car,12,19,Motorcycle,Female,0.4149484536
4,4,45,Motorcycle,13,53,Commercial,Female,0.2113402062
20,6,20,Motorcycle,18,46,Commercial,Male,0.8427835052
3,5,0,Car,15,45,Motorcycle,Male,0.5206185567
19,7,7,Motorcycle,8,59,Commercial,Male,0.9304123711
8,1,25,Car,12,68,Motorcycle,Male,0.4046391753
14,5,2,Motorcycle,7,20,Commercial,Male,0.6701030928
0,7,1,Car,3,32,Commercial,Female,0.4613402062
19,6,35,Car,2,42,Motorcycle,Female,0.675257732
8,6,30,Car,8,42,Commercial,Male,0.4304123711
7,6,34,Car,4,60,Motorcycle,Male,0.3737113402
13,1,28,Car,12,37,Commercial,Male,0.5103092784
17,8,5,Car,12,23,Commercial,Male,0.6829896907
20,4,21,Car,13,53,Motorcycle,Male,0.7835051546
0,2,23,Car,18,53,Commercial,Female,0.2268041237
11,0,17,Car,15,51,Motorcycle,Female,0.5309278351
4,2,5,Motorcycle,8,44,Commercial,Female,0.4948453608
0,8,3,Motorcycle,12,30,Commercial,Female,0.4845360825
10,3,25,Motorcycle,7,44,Motorcycle,Female,0.5077319588
14,7,21,Motorcycle,3,64,Commercial,Male,0.6932989691
20,2,6,Car,2,33,Motorcycle,Male,0.8737113402
18,1,19,Motorcycle,8,58,Commercial,Male,0.7345360825
4,4,22,Car,4,55,Commercial,Male,0.3634020619
3,4,23,Motorcycle,12,33,Motorcycle,Male,0.3556701031
19,10,21,Motorcycle,12,53,Commercial,Female,0.8608247423
7,4,12,Car,13,39,Motorcycle,Female,0.5180412371
8,2,22,Motorcycle,18,47,Commercial,Female,0.4664948454
13,4,10,Motorcycle,15,40,Commercial,Female,0.7139175258
5,8,14,Car,8,63,Motorcycle,Female,0.5025773196
0,7,44,Motorcycle,12,56,Commercial,Male,0.1546391753
8,10,3,Motorcycle,7,21,Motorcycle,Male,0.4484536082
15,9,5,Motorcycle,3,43,Commercial,Male,0.868556701
15,8,15,Motorcycle,2,33,Commercial,Male,0.5927835052
11,9,10,Car,8,43,Motorcycle,Male,0.7010309278
4,5,3,Motorcycle,4,21,Commercial,Female,0.3969072165
7,9,26,Motorcycle,12,63,Motorcycle,Female,0.5
13,1,19,Motorcycle,12,38,Commercial,Male,0.6056701031
10,8,46,Motorcycle,13,62,Commercial,Male,0.4097938144
20,8,16,Motorcycle,18,41,Motorcycle,Male,0.8994845361
14,6,1,Motorcycle,15,21,Commercial,Male,0.8608247423
17,0,19,Motorcycle,8,41,Motorcycle,Male,0.6958762887
19,0,14,Motorcycle,12,51,Commercial,Female,0.7860824742
3,2,9,Motorcycle,7,21,Commercial,Female,0.4639175258
9,3,9,Car,3,27,Motorcycle,Female,0.3092783505
18,2,35,Car,2,48,Commercial,Female,0.5979381443
2,1,15,Motorcycle,8,33,Motorcycle,Female,0.1984536082
19,9,8,Motorcycle,4,18,Commercial,Male,0.9742268041
11,5,26,Motorcycle,12,33,Commercial,Male,0.5515463918
18,6,40,Car,12,57,Motorcycle,Male,0.6108247423
13,1,26,Motorcycle,13,44,Commercial,Male,0.4046391753
1,10,13,Car,18,42,Motorcycle,Male,0.4329896907
6,8,25,Motorcycle,15,65,Commercial,Female,0.4690721649
10,7,44,Motorcycle,8,44,Commercial,Female,0.412371134
16,7,14,Motorcycle,12,68,Motorcycle,Female,0.7989690722
16,3,2,Car,7,20,Commercial,Female,0.4845360825
3,4,13,Car,3,27,Motorcycle,Female,0.4072164948
17,9,6,Car,2,52,Commercial,Male,0.8865979381
10,6,43,Motorcycle,8,50,Commercial,Male,0.4072164948
9,9,8,Motorcycle,4,30,Motorcycle,Male,0.6907216495
12,6,38,Motorcycle,12,39,Commercial,Male,0.4974226804
13,4,14,Motorcycle,12,20,Motorcycle,Male,0.7087628866
6,1,46,Motorcycle,13,47,Commercial,Female,0.2164948454
6,2,8,Car,18,26,Commercial,Female,0.3427835052
7,0,29,Car,15,38,Motorcycle,Male,0.3350515464
8,0,31,Car,8,50,Commercial,Male,0.3453608247
13,10,30,Car,12,46,Motorcycle,Male,0.6108247423
7,7,8,Motorcycle,7,53,Commercial,Male,0.6134020619
16,6,0,Motorcycle,3,18,Commercial,Male,0.587628866
15,2,2,Car,2,64,Motorcycle,Female,0.7757731959
8,10,15,Motorcycle,8,69,Commercial,Female,0.6237113402
3,9,28,Motorcycle,4,28,Motorcycle,Female,0.381443299
6,10,3,Motorcycle,12,21,Commercial,Female,0.4510309278
17,8,37,Car,12,64,Commercial,Female,0.6340206186
7,8,1,Car,13,19,Motorcycle,Male,0.3634020619
20,2,38,Car,18,43,Commercial,Male,0.6262886598
2,1,12,Motorcycle,15,30,Motorcycle,Male,0.1829896907
16,10,24,Motorcycle,8,28,Commercial,Male,0.7603092784
18,2,5,Car,12,66,Commercial,Male,0.8298969072
13,7,14,Car,7,40,Motorcycle,Female,0.6958762887
4,6,34,Motorcycle,3,63,Commercial,Female,0.3221649485
4,6,11,Car,2,47,Motorcycle,Female,0.4742268041
12,2,16,Motorcycle,8,28,Commercial,Female,0.6159793814
17,1,31,Car,4,68,Commercial,Female,0.5902061856
20,5,50,Car,12,65,Motorcycle,Male,0.5721649485
1,6,12,Motorcycle,12,21,Commercial,Male,0.4407216495
5,9,0,Car,13,50,Motorcycle,Male,0.6237113402
1,9,34,Motorcycle,18,54,Commercial,Male,0.2835051546
19,3,0,Car,15,27,Commercial,Male,0.9072164948
19,9,16,Car,8,69,Motorcycle,Female,0.8608247423
7,4,4,Motorcycle,12,51,Commercial,Female,0.6056701031
9,2,36,Car,7,53,Motorcycle,Male,0.3582474227
17,1,3,Motorcycle,3,59,Commercial,Male,0.8324742268
9,6,5,Motorcycle,2,23,Commercial,Male,0.7010309278
0,0,30,Motorcycle,8,48,Motorcycle,Male,0.1726804124
19,2,50,Car,4,61,Commercial,Male,0.5077319588
4,6,42,Motorcycle,12,51,Motorcycle,Female,0.2603092784
17,3,20,Motorcycle,12,23,Commercial,Female,0.7525773196
20,7,28,Car,13,46,Commercial,Female,0.6134020619
16,5,9,Car,18,27,Motorcycle,Female,0.5077319588
3,10,15,Car,15,55,Commercial,Female,0.4690721649
10,10,37,Car,8,61,Motorcycle,Male,0.4793814433
1,2,41,Car,12,63,Commercial,Male,0.1134020619
20,6,28,Motorcycle,7,48,Commercial,Male,0.7809278351
4,6,27,Car,3,49,Motorcycle,Male,0.3505154639
4,10,1,Car,2,19,Commercial,Male,0.2886597938
16,1,33,Car,8,36,Motorcycle,Female,0.5489690722
16,9,11,Motorcycle,4,21,Commercial,Female,0.8737113402
15,10,5,Motorcycle,12,23,Commercial,Female,0.7371134021
10,0,34,Car,12,35,Motorcycle,Female,0.3737113402
13,1,24,Motorcycle,13,56,Commercial,Female,0.5670103093
8,3,13,Car,18,45,Motorcycle,Male,0.5231958763
11,3,7,Motorcycle,15,60,Commercial,Male,0.6726804124
20,1,24,Motorcycle,8,25,Commercial,Male,0.7474226804
6,3,1,Car,12,61,Motorcycle,Male,0.5644329897
9,4,35,Motorcycle,7,61,Commercial,Male,0.4175257732
15,3,18,Motorcycle,3,58,Motorcycle,Female,0.6907216495
3,9,46,Motorcycle,2,49,Commercial,Female,0.2422680412
19,9,40,Car,8,50,Commercial,Male,0.675257732
12,5,1,Car,4,51,Motorcycle,Male,0.7448453608
18,6,42,Car,12,59,Commercial,Male,0.5953608247
17,8,27,Motorcycle,12,44,Motorcycle,Male,0.7371134021
10,10,15,Motorcycle,13,66,Commercial,Male,0.675257732
2,9,15,Motorcycle,18,48,Commercial,Female,0.456185567
1,5,41,Motorcycle,15,42,Motorcycle,Female,0.1778350515
11,5,13,Car,8,57,Commercial,Female,0.6262886598
3,8,6,Car,12,62,Motorcycle,Female,0.5128865979
12,4,32,Motorcycle,7,35,Commercial,Female,0.5180412371
4,5,28,Car,3,35,Commercial,Male,0.3298969072
1,0,6,Motorcycle,2,62,Motorcycle,Male,0.3840206186
17,3,14,Car,8,51,Commercial,Male,0.7474226804
0,1,5,Car,4,23,Motorcycle,Male,0.1778350515
7,6,6,Car,12,64,Commercial,Male,0.5902061856
4,8,6,Car,12,24,Commercial,Female,0.3556701031
3,6,46,Motorcycle,13,57,Motorcycle,Female,0.2036082474
5,3,26,Car,18,46,Commercial,Female,0.3453608247
6,4,32,Car,15,38,Motorcycle,Female,0.337628866
3,5,1,Motorcycle,8,19,Commercial,Female,0.2164948454
2,8,31,Motorcycle,12,35,Commercial,Male,0.3195876289
8,2,7,Motorcycle,7,25,Motorcycle,Male,0.5824742268
1,9,49,Motorcycle,3,54,Commercial,Male,0.1675257732
4,3,39,Car,2,39,Motorcycle,Male,0.2190721649
0,2,1,Car,8,58,Commercial,Male,0.3969072165
13,9,5,Car,4,59,Commercial,Female,0.7912371134
19,1,37,Motorcycle,12,59,Motorcycle,Female,0.6211340206
9,1,27,Car,12,38,Commercial,Male,0.4149484536
5,10,10,Car,13,28,Motorcycle,Male,0.3427835052
1,8,7,Car,18,25,Commercial,Male,0.1597938144
7,10,23,Motorcycle,15,26,Commercial,Male,0.5360824742
8,6,12,Motorcycle,8,67,Motorcycle,Male,0.5953608247
20,10,9,Car,12,39,Commercial,Female,0.9536082474
7,3,29,Car,7,40,Motorcycle,Female,0.3737113402
3,2,29,Car,3,33,Commercial,Female,0.2577319588
12,2,13,Car,2,43,Commercial,Female,0.6134020619
3,4,23,Car,8,60,Motorcycle,Female,0.3298969072
6,10,24,Motorcycle,4,51,Commercial,Male,0.5025773196
20,7,9,Motorcycle,12,53,Motorcycle,Male,0.9407216495
7,2,4,Motorcycle,12,56,Commercial,Male,0.5798969072
19,4,37,Motorcycle,13,48,Commercial,Male,0.6597938144
0,4,11,Motorcycle,18,62,Motorcycle,Male,0.3711340206
5,9,22,Car,15,59,Commercial,Female,0.4536082474
11,1,24,Car,8,31,Motorcycle,Female,0.4896907216
9,5,37,Car,12,40,Commercial,Female,0.3891752577
